DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
25-09-2013,1336,,,,,
26-09-2013,1323.8,,,,,
27-09-2013,1339.2,,,,,
30-09-2013,1327,,,,,
01-10-2013,1286.1,,,,,
02-10-2013,1320.7,,,,,
03-10-2013,1317.6,,,,,
04-10-2013,1309.9,,,,,
07-10-2013,1325.1,,,,,
08-10-2013,1324.6,,,,,
09-10-2013,1307.2,,,,,
10-10-2013,1296.9,,,,,
11-10-2013,1268.2,,,,,
14-10-2013,1276.6,,,,,
15-10-2013,1273.2,,,,,
16-10-2013,1282.3,,,,,
17-10-2013,1323,,,,,
18-10-2013,1314.6,,,,,
21-10-2013,1315.8,,,,,
22-10-2013,1342.6,,,,,
23-10-2013,1334,,,,,
24-10-2013,1350.3,,,,,
25-10-2013,1352.5,,,,,
28-10-2013,1352.2,,,,,
29-10-2013,1345.5,,,,,
30-10-2013,1349.7,,,,,
31-10-2013,1324.1,,,,,
01-11-2013,1313.6,,,,,
04-11-2013,1315.1,,,,,
05-11-2013,1308.5,,,,,
06-11-2013,1318.2,,,,,
07-11-2013,1308.9,,,,,
08-11-2013,1285.1,,,,,
11-11-2013,1281.6,,,,,
12-11-2013,1271.7,,,,,
13-11-2013,1268.9,,,,,
14-11-2013,1286.8,,,,,
15-11-2013,1287.8,,,,,
18-11-2013,1272.7,,,,,
19-11-2013,1273.9,,,,,
20-11-2013,1258.4,,,,,
21-11-2013,1243.9,,,,,
22-11-2013,1244.3,,,,,
25-11-2013,1241.4,,,,,
26-11-2013,1241.4,,,,,
27-11-2013,1237.9,,,,,
28-11-2013,1250.4,,,,,
29-11-2013,1250.4,,,,,
02-12-2013,1221.9,,,,,
03-12-2013,1220.8,,,,,
04-12-2013,1247.2,,,,,
05-12-2013,1231.9,,,,,
06-12-2013,1229,,,,,
09-12-2013,1234.2,,,,,
10-12-2013,1261.1,,,,,
11-12-2013,1257.2,,,,,
12-12-2013,1224.9,,,,,
13-12-2013,1234.6,,,,,
16-12-2013,1244.4,,,,,
17-12-2013,1230.1,,,,,
18-12-2013,1235,,,,,
19-12-2013,1193.6,,,,,
20-12-2013,1203.7,,,,,
23-12-2013,1197,,,,,
24-12-2013,1203.3,,,,,
26-12-2013,1212.3,,,,,
27-12-2013,1214,,,,,
30-12-2013,1204.1,,,,,
